영양소,상호작용_유형,상대,상대_정규화,상대_분류,맥락,섹션경로,statement,문헌번호,문헌_확보율,문헌정보,PubMed,출처URL,수집시각
iron,영양소-영양소,Copper,Copper,미량영양소,Nutrient Interactions,Nutrient Interactions > Copper,"Adequate copper nutritional status is necessary for normal iron metabolism and red blood cell formation. Anemia is a clinical sign of copper deficiency, and iron has been found to accumulate in the livers of copper-deficient animals, indicating that copper (via copper-containing ceruloplasmin) is required for iron transport to the bone marrow for red blood cell formation (20). The connection between copper availability and iron metabolism has also been established in humans; copper deficiency can lead to secondary ceruloplasmin deficiency and hepatic iron overload and/or cirrhosis (21). Oral copper supplementation restored normal ceruloplasmin levels and plasma ferroxidase activity and corrected the iron metabolism disorder in a copper-deficient subject (22). Moreover, infants fed a high-iron formula absorbed less copper than infants fed a low-iron formula, suggesting that high iron intakes may interfere with copper absorption in infants (23).",20;21;22;23,4/4,"Turnlund JR. Copper. In: Shils ME, Shike M, Ross AC, Caballero B, Cousins RJ, eds. Modern Nutrition in Health and Disease. 10th ed. Philadelphia: Lippincott Williams & Wilkins; 2006:286-299. | Thackeray EW, Sanderson SO, Fox JC, Kumar N. Hepatic iron overload or cirrhosis may occur in acquired copper deficiency and is likely mediated by hypoceruloplasminemia. J Clin Gastroenterol. 2011;45(2):153-158. (PubMed) | Videt-Gibou D, Belliard S, Bardou-Jacquet E, et al. Iron excess treatable by copper supplementation in acquired aceruloplasminemia: a new form of secondary human iron overload? Blood. 2009;114(11):2360-2361. (PubMed) | Food and Nutrition Board, Institute of Medicine. Copper. Dietary Reference Intakes for Vitamin A, Vitamin K, Boron, Chromium, Copper, Iodine, Iron, Manganese, Molybdenum, Nickel, Silicon, Vanadium, and Zinc. Washington, D.C.: National Academy Press; 2001:224-257. (National Academy Press)",http://www.ncbi.nlm.nih.gov/pubmed/20502350;http://www.ncbi.nlm.nih.gov/pubmed/19745082,https://lpi.oregonstate.edu/mic/minerals/iron,2026-08-10T04:48:17+00:00
iron,영양소-영양소,Zinc,Zinc,미량영양소,Nutrient Interactions,Nutrient Interactions > Zinc,"Zinc is essential to maintain adequate erythropoiesis. When zinc deficiency coexists with iron deficiency, it may exacerbate iron-deficiency anemia (24). On the other hand, high doses of iron supplements, taken together with zinc supplements on an empty stomach, may inhibit the absorption of zinc. When taken with food, supplemental iron does not appear to inhibit zinc absorption. Iron- fortified foods have not been found to impair zinc absorption (25, 26).",24;25;26,3/3,"Kelkitli E, Ozturk N, Aslan NA, et al. Serum zinc levels in patients with iron deficiency anemia and its association with symptoms of iron deficiency anemia. Ann Hematol. 2016;95(5):751-756. (PubMed) | Food and Nutrition Board, Institute of Medicine. Iron. Dietary Reference Intakes for Vitamin A, Vitamin K, Boron, Chromium, Copper, Iodine, Iron, Manganese, Molybdenum, Nickel, Silicon, Vanadium, and Zinc. Washington, D.C.: National Academy Press; 2001:290-393. (National Academy Press) | Lynch SR. Interaction of iron with other nutrients. Nutr Rev. 1997;55(4):102-110. (PubMed)",http://www.ncbi.nlm.nih.gov/pubmed/26931116;http://www.ncbi.nlm.nih.gov/pubmed/9197130,https://lpi.oregonstate.edu/mic/minerals/iron,2026-08-10T04:48:17+00:00
iron,영양소-영양소,Calcium,Calcium,미량영양소,Nutrient Interactions,Nutrient Interactions > Calcium,"The presence of calcium decreases iron absorption from both nonheme (i.e., most supplements and food sources other than meat, poultry, and seafood) and heme sources (27). However, calcium supplementation up to 12 weeks has not been found to change iron nutritional status, probably due to a compensatory increase in iron absorption (28). Individuals taking iron supplements should take them two hours apart from calcium-rich food or supplements to maximize iron absorption.",27;28,2/2,"Hurrell R, Egli I. Iron bioavailability and dietary reference values. Am J Clin Nutr. 2010;91(5):1461S-1467S. (PubMed) | Weaver CM. Calcium. In: Erdman JJ, Macdonald I, Zeisel SH, eds. Present Knowledge in Nutrition. 10th ed: John Wiley & Sons, Inc.; 2012:434-446.",http://www.ncbi.nlm.nih.gov/pubmed/20200263,https://lpi.oregonstate.edu/mic/minerals/iron,2026-08-10T04:48:17+00:00
iron,영양소-영양소,Iodine,Iodine,미량영양소,Nutrient Interactions,Nutrient Interactions > Iodine,"Severe iron-deficiency anemia can impair thyroid metabolism in the following ways: (1) by altering the thyroid-stimulating hormone response of the pituitary gland; (2) by reducing the activity of thyroid peroxidase that catalyzes the iodination of thyroglobulin for the production of thyroid hormones; and (3) in the liver by limiting the conversion of T 4 to T 3, increasing T 3 turnover, and decreasing T 3 binding to nuclear receptors (29). It is estimated that goiter and iron-deficiency anemia coexist in up to 25% of school-age children in west and north Africa (30). A randomized controlled study in iron-deficient children with goiter showed a greater reduction in thyroid size following the consumption of iodized salt together with 60 mg/day of iron four times per week compared to placebo (31). Additional interventions have confirmed that correcting iron-deficiency anemia improved the efficacy of iodine supplementation to mitigate thyroid disorders (reviewed in 29, 30).",29;30;31,3/3,"Zimmermann MB. The influence of iron status on iodine utilization and thyroid function. Annu Rev Nutr. 2006;26:367-389. (PubMed) | Hess SY. The impact of common micronutrient deficiencies on iodine and thyroid metabolism: the evidence from human studies. Best Pract Res Clin Endocrinol Metab. 2010;24(1):117-132. (PubMed) | Hess SY, Zimmermann MB, Adou P, Torresani T, Hurrell RF. Treatment of iron deficiency in goitrous children improves the efficacy of iodized salt in Cote d'Ivoire. Am J Clin Nutr. 2002;75(4):743-748. (PubMed)",http://www.ncbi.nlm.nih.gov/pubmed/16602928;http://www.ncbi.nlm.nih.gov/pubmed/20172476;http://www.ncbi.nlm.nih.gov/pubmed/11916762,https://lpi.oregonstate.edu/mic/minerals/iron,2026-08-10T04:48:17+00:00
iron,흡수 촉진/저해 인자,(흡수 촉진 인자),(흡수 촉진 인자),인자목록,Nonheme iron,Sources > Food sources > Nonheme iron > Enhancers of nonheme iron absorption,"Vitamin C (ascorbic acid): Vitamin C strongly enhances the absorption of nonheme iron by reducing dietary ferric iron (Fe3+) to ferrous iron (Fe2+) and forming an absorbable, iron-ascorbic acid complex (75). Other organic acids: Citric, malic, tartaric, and lactic acids have some enhancing effects on nonheme iron absorption (1). Meat, poultry, and fish: Aside from providing highly absorbable heme iron, meat, fish, and poultry also enhance nonheme iron absorption. The mechanism for this enhancement of nonheme iron absorption is not clear (1, 25).",1;25;75,3/3,"Aggett PJ. Iron. In: Erdman JWJ, Macdonald IA, Zeisel SH, eds. Present Knowledge in Nutrition. 10th ed. Ames: Wiley-Blackwell; 2012:506-520. | Food and Nutrition Board, Institute of Medicine. Iron. Dietary Reference Intakes for Vitamin A, Vitamin K, Boron, Chromium, Copper, Iodine, Iron, Manganese, Molybdenum, Nickel, Silicon, Vanadium, and Zinc. Washington, D.C.: National Academy Press; 2001:290-393. (National Academy Press) | Johnston CS. Vitamin C. In: Erdman JWJ, Macdonald IA, Zeisel SH, eds. Present Knowledge in Nutrition. 10th ed. Ames: Wiley-Blackwell; 2012:248-260.",,https://lpi.oregonstate.edu/mic/minerals/iron,2026-08-10T04:48:17+00:00
iron,흡수 촉진/저해 인자,(흡수 저해 인자),(흡수 저해 인자),인자목록,Nonheme iron,Sources > Food sources > Nonheme iron > Inhibitors of nonheme iron absorption,"Phytic acid (phytate): Phytic acid, present in legumes, whole grains, nuts, and seeds, inhibits nonheme iron absorption, probably by binding to it. Small amounts of phytic acid (5 to 10 mg) can reduce nonheme iron absorption by 50%. The absorption of iron from legumes, such as soybeans, black beans, lentils, mung beans, and split peas, has been shown to be as low as 2% (25). Food preparation, including soaking, germination, fermentation, and cooking, can help remove or degrade phytic acid (27). Polyphenolic compounds: Polyphenolic compounds in coffee, black tea, and herbal tea can markedly inhibit the absorption of nonheme iron (76). This effect may be reduced by the presence of vitamin C (27, 77). Soy protein: Soy protein, such as that found in tofu, has an inhibitory effect on iron absorption that is only partly related to its phytic acid content (27, 77). Calcium: Calcium appears to affect iron absorption from both heme and nonheme sources. Yet, its effect appears to be limited when one consumes a wide variety of food with varied levels of enhancers and inhibitors of iron absorption (27). National surveys in the US have indicated that the average dietary intake of iron is 16 to 18 mg/day in men, 12 mg/day in pre- and postmenopausal women, and about 15 mg/day in pregnant women (25). Thus, the majority of premenopausal and pregnant women in the US consume less than the RDA for iron, and many men consume more than the RDA (see The RDA). In the US, most grain products are fortified with nonheme iron. The iron content of some relatively iron-rich foods is listed in milligrams (mg) in Table 2. For more information on the nutrient content of specific foods, search USDA's FoodData Central. Table 2. Some Food Sources of Iron Food Serving Iron (mg) Beef 3 ounces* 1.6 Chicken, liver, cooked, pan-fried 1 ounce 3.6 Oysters, Pacific, cooked 6 medium 13.8 Oysters, Eastern, cooked 6 medium 3.9 Clams, cooked, steamed 3 ounces 2.4 Tuna, light, canned in water 3 ounces 1.3 Mussels, cooked, steamed 3 ounces 5.7 Raisin bran cereal 1 cup 5.8-18.0 Raisins, seedless 1 small box (1.5 ounces) 0.8 Prune juice 6 fluid ounces 2.3 Prunes (dried plums) ~5 prunes (1.7 ounces) 0.4 Potato, with skin, baked 1 medium potato 1.8 Quinoa, cooked ½ cup 1.4 Spinach, cooked 1 cup 6.4 Swiss chard, cooked, boiled ½ cup 2.0 Beans, white, cooked ½ cup 3.3 Lentils, cooked ½ cup 3.3 Tofu, regular, raw ½ cup 6.6 Hazelnuts, dry-roasted 1 ounce 1.3 Cashews 1 ounce 1.9 *A three-ounce serving of meat is about the size of a deck of cards.",25;27;76;77,4/4,"Food and Nutrition Board, Institute of Medicine. Iron. Dietary Reference Intakes for Vitamin A, Vitamin K, Boron, Chromium, Copper, Iodine, Iron, Manganese, Molybdenum, Nickel, Silicon, Vanadium, and Zinc. Washington, D.C.: National Academy Press; 2001:290-393. (National Academy Press) | Hurrell R, Egli I. Iron bioavailability and dietary reference values. Am J Clin Nutr. 2010;91(5):1461S-1467S. (PubMed) | Morck TA, Lynch SR, Cook JD. Inhibition of food iron absorption by coffee. Am J Clin Nutr. 1983;37(3):416-420. (PubMed) | Natural Medicines. Iron: Interactions with Herbs & Supplements [professional monograph]; 2016. Available at: https://naturalmedicines.therapeuticresearch.com. Accessed 6/1/16.",http://www.ncbi.nlm.nih.gov/pubmed/20200263;http://www.ncbi.nlm.nih.gov/pubmed/6402915,https://lpi.oregonstate.edu/mic/minerals/iron,2026-08-10T04:48:17+00:00
iron,영양소-약물,,,,Safety 아래,Safety > Drug interactions,"Medications that decrease stomach acidity, such as antacids, histamine (H 2) receptor antagonists (e.g., cimetidine, ranitidine), and proton-pump inhibitors (e.g., omeprazole, lansoprazole), may impair iron absorption. Taking iron supplements at the same time as the following medications may result in decreased absorption and efficacy of the medication: carbidopa and levodopa (Sinemet), levothyroxine (Synthroid, Levoxyl), methyldopa (Aldomet), penicillamine (Cuprimine, Depen), quinolones, tetracyclines, and bisphosphonates (120). Therefore, it is best to take these medications two hours apart from iron supplements. Cholestyramine (Questran) and colestipol (Colestid), used to lower blood cholesterol concentrations, should also be taken at least four hours apart from iron supplements because they may interfere with iron absorption (121).",120;121,2/2,"Hendler SS, Rorvik DM. PDR for Nutritional Supplements. 2nd ed. Montvale: Thomson Reuters; 2008. | Natural Medicines. Iron: Interactions with Drugs [professional monograph]; 2016. Available at: https://naturalmedicines.therapeuticresearch.com. Accessed 6/1/16.",,https://lpi.oregonstate.edu/mic/minerals/iron,2026-08-10T04:48:17+00:00
magnesium,영양소-영양소,Zinc,Zinc,미량영양소,Nutrient interactions,Function > Nutrient interactions > Zinc,High doses of supplemental zinc may interfere with magnesium absorption. One study reported that zinc supplements of 142 mg/day (well above the Tolerable Upper Intake Level (UL) of 40 mg/day for zinc) significantly decreased magnesium absorption and disrupted magnesium balance (the difference between magnesium intake and magnesium loss) in healthy adult males (4).,4,1/1,"Spencer H, Norris C, Williams D. Inhibitory effects of zinc on magnesium balance and magnesium absorption in man. J Am Coll Nutr. 1994;13(5):479-484. (PubMed)",https://www.ncbi.nlm.nih.gov/pubmed/7836627,https://lpi.oregonstate.edu/mic/minerals/magnesium,2026-08-10T04:48:19+00:00
magnesium,영양소-영양소,Fiber,Fiber,다량영양소,Nutrient interactions,Function > Nutrient interactions > Fiber,"Large increases in the intake of dietary fiber have been found to decrease magnesium utilization in experimental studies. However, the extent to which dietary fiber affects magnesium nutritional status in individuals with a varied diet outside the laboratory is not clear (2, 3).",2;3,2/2,"Food and Nutrition Board, Institute of Medicine. Magnesium. Dietary Reference Intakes: Calcium, Phosphorus, Magnesium, Vitamin D, and Fluoride. Washington D.C.: National Academy Press; 1997:190-249. (National Academy Press) | Rude RK, Shils ME. Magnesium. In: Shils ME, Shike M, Ross AC, Caballero B, Cousins RJ, eds. Modern Nutrition in Health and Disease. 10th ed. Baltimore: Lippincott Williams & Wilkins; 2006:223-247.",,https://lpi.oregonstate.edu/mic/minerals/magnesium,2026-08-10T04:48:19+00:00
magnesium,영양소-영양소,Protein,Protein,다량영양소,Nutrient interactions,Function > Nutrient interactions > Protein,Dietary protein intake may affect magnesium absorption. One study in adolescent boys found that magnesium absorption was lowest when protein intake was below 30 g/day (5).,5,1/1,"Schwartz R, Walker G, Linz MD, MacKellar I. Metabolic responses of adolescent boys to two levels of dietary magnesium and protein. I. Magnesium and nitrogen retention. Am J Clin Nutr. 1973;26(5):510-518. (PubMed)",https://www.ncbi.nlm.nih.gov/pubmed/4700618,https://lpi.oregonstate.edu/mic/minerals/magnesium,2026-08-10T04:48:19+00:00
magnesium,영양소-영양소,Vitamin D and calcium,Vitamin D; Calcium,미량영양소,Nutrient interactions,Function > Nutrient interactions > Vitamin D and calcium,"The active form of vitamin D (calcitriol) may slightly increase intestinal magnesium absorption (6). However, unlike calcium and phosphate, it is not clear whether magnesium absorption is calcitriol dependent. High calcium intake has not been found to affect magnesium balance in most studies. Inadequate blood magnesium concentrations are known to result in low blood calcium concentrations, resistance to parathyroid hormone (PTH) action, and resistance to some of the effects of vitamin D (2, 3).",2;3;6,3/3,"Food and Nutrition Board, Institute of Medicine. Magnesium. Dietary Reference Intakes: Calcium, Phosphorus, Magnesium, Vitamin D, and Fluoride. Washington D.C.: National Academy Press; 1997:190-249. (National Academy Press) | Rude RK, Shils ME. Magnesium. In: Shils ME, Shike M, Ross AC, Caballero B, Cousins RJ, eds. Modern Nutrition in Health and Disease. 10th ed. Baltimore: Lippincott Williams & Wilkins; 2006:223-247. | Navarro-Gonzalez JF, Mora-Fernandez C, Garcia-Perez J. Clinical implications of disordered magnesium homeostasis in chronic renal failure and dialysis. Semin Dial. 2009;22(1):37-44. (PubMed)",http://www.ncbi.nlm.nih.gov/pubmed/19250445,https://lpi.oregonstate.edu/mic/minerals/magnesium,2026-08-10T04:48:19+00:00
magnesium,영양소-약물,,,,Safety 아래,Safety > Drug interactions,"Magnesium interferes with the absorption of digoxin (a heart medication), nitrofurantoin (an antibiotic), and certain anti- malarial drugs, which could potentially reduce drug efficacy. Bisphosphonates (e.g., alendronate, etidronate), which are drugs used to treat osteoporosis, and magnesium should be taken two hours apart so that the absorption of the bisphosphonates is not inhibited (212, 213). Magnesium has also been found to reduce the efficacy of chlorpromazine (a tranquilizer), penicillamine, oral anticoagulants, and the quinolone and tetracycline classes of antibiotics (212, 213). Intravenous magnesium might inhibit calcium entry into smooth muscle cells and lead to hypotension and muscular weakness if administered with calcium channel blockers (e.g., nifedipin, nicardipin) (213). Because intravenous magnesium has increased the effects of certain muscle-relaxing medications used during anesthesia, it is advisable to let medical staff know if you are taking oral magnesium supplements, laxatives, or antacids prior to surgical procedures. Moreover, long-term use (three months or longer) of proton-pump inhibitors (drugs used to reduce the amount of stomach acid) may increase the risk of hypomagnesemia (214, 215). High doses of furosemide (Lasix) and some thiazide diuretics (e.g., hydrochlorothiazide), if taken for extended periods, may interfere with magnesium reabsorption in the kidneys and result in magnesium depletion (213). Many other medications may also result in renal magnesium loss (3).",3;212;213;214;215,5/5,"Rude RK, Shils ME. Magnesium. In: Shils ME, Shike M, Ross AC, Caballero B, Cousins RJ, eds. Modern Nutrition in Health and Disease. 10th ed. Baltimore: Lippincott Williams & Wilkins; 2006:223-247. | Hendler SS, Rorvik DM. PDR for Nutritional Supplements. Montvale: Thomson Reuters; 2008. | Natural Medicines. Magnesium. Professional handout/Drug Interactions. Available at: https://naturalmedicines-therapeuticresearch-com. Accessed 10/19/18. | Wilhelm SM, Rjater RG, Kale-Pradhan PB. Perils and pitfalls of long-term effects of proton pump inhibitors. Expert Rev Clin Pharmacol. 2013;6(4):443-451. (PubMed) | US Food and Drug Administration. Proton Pump Inhibitor drugs (PPIs): Drug Safety Communication - Low Magnesium Levels Can Be Associated With Long-Term Use. 08/04/2017 Available at: https://www.fda.gov/Drugs/DrugSafety/ucm245011.htm. Accessed 10/22/18.",http://www.ncbi.nlm.nih.gov/pubmed/23927671,https://lpi.oregonstate.edu/mic/minerals/magnesium,2026-08-10T04:48:19+00:00
manganese,영양소-영양소,Iron,Iron,미량영양소,Nutrient interactions,Function > Nutrient interactions > Iron,"Iron and manganese share common absorption and transport proteins, including the divalent metal transporter 1, the lactoferrin receptor, transferrin, and ferroportin (reviewed in 10). Absorption of manganese from a meal decreases as the meal's iron content increases (7). Iron supplementation (60 milligrams [mg]/day for four months) has been associated with decreased blood manganese concentrations and decreased MnSOD activity in leukocytes, indicating a reduction in manganese nutritional status (11). Additionally, an individual's iron status can affect manganese bioavailability. Intestinal absorption of manganese is increased during iron deficiency and decreased when iron stores are elevated (i.e., high ferritin concentrations) (12). Small studies have found increased blood concentrations of manganese in iron-deficient infants (13) and children (14), and a national survey of adults residing in South Korea found men and women with low ferritin levels had higher blood concentrations of manganese compared to those with normal ferritin levels (15). In this analysis, anemia was associated with higher blood concentrations of manganese in women but not in men (15). Men generally absorb less manganese than women, which may be related to the fact that men usually have higher iron stores than women (16). Iron deficiency has also been shown to increase the risk of manganese accumulation in the brain (17).",7;10;11;12;13;14;15;16;17,9/9,"Keen CL, Zidenberg-Cherr S. Manganese. In: Ziegler EE, Filer LJ, eds. Present Knowledge in Nutrition. 7th ed. Washington D.C.: ILSI Press; 1996:334-343. | Ye Q, Park JE, Gugnani K, Betharia S, Pino-Figueroa A, Kim J. Influence of iron metabolism on manganese transport and toxicity. Metallomics. 2017;9(8):1028-1046. (PubMed) | Davis CD, Greger JL. Longitudinal changes of manganese-dependent superoxide dismutase and other indexes of manganese and iron status in women. Am J Clin Nutr. 1992;55(3):747-752. (PubMed) | Finley JW. Manganese absorption and retention by young women is associated with serum ferritin concentration. Am J Clin Nutr. 1999;70(1):37-43. (PubMed) | Park S, Sim CS, Lee H, Kim Y. Blood manganese concentration is elevated in infants with iron deficiency. Biol Trace Elem Res. 2013;155(2):184-189. (PubMed) | Rahman MA, Rahman B, Ahmed N. High blood manganese in iron-deficient children in Karachi. Public Health Nutr. 2013;16(9):1677-1683. (PubMed) | Kim Y, Lee BK. Iron deficiency increases blood manganese level in the Korean general population according to KNHANES 2008. Neurotoxicology. 2011;32(2):247-254. (PubMed) | Finley JW, Johnson PE, Johnson LK. Sex affects manganese absorption and retention by humans from a diet adequate in manganese. Am J Clin Nutr. 1994;60(6):949-955. (PubMed) | Aschner M, Dorman DC. Manganese: pharmacokinetics and molecular mechanisms of brain uptake. Toxicol Rev. 2006;25(3):147-154. (PubMed)",https://www.ncbi.nlm.nih.gov/pubmed/28620665;http://www.ncbi.nlm.nih.gov/pubmed/1550052;http://www.ncbi.nlm.nih.gov/pubmed/10393136;https://www.ncbi.nlm.nih.gov/pubmed/23955423;https://www.ncbi.nlm.nih.gov/pubmed/23534837;https://www.ncbi.nlm.nih.gov/pubmed/21182864;https://pubmed.ncbi.nlm.nih.gov/7985639/;https://pubmed.ncbi.nlm.nih.gov/17192121/,https://lpi.oregonstate.edu/mic/minerals/manganese,2026-08-10T04:48:22+00:00
manganese,영양소-영양소,Magnesium,Magnesium,미량영양소,Nutrient interactions,Function > Nutrient interactions > Magnesium,"Supplemental magnesium (200 mg/day) has been shown to slightly decrease manganese bioavailability in healthy adults, either by decreasing manganese absorption or by increasing its excretion (18).",18,1/1,"Kies C. Bioavailability of manganese. In: Klimis-Tavantzis D, ed. Manganese in Health and Disease. Boca Raton: CRC Press, Inc.; 1994:39-58.",,https://lpi.oregonstate.edu/mic/minerals/manganese,2026-08-10T04:48:22+00:00
manganese,영양소-영양소,Calcium,Calcium,미량영양소,Nutrient interactions,Function > Nutrient interactions > Calcium,"In one set of studies, supplemental calcium (500 mg/day) slightly decreased manganese bioavailability in healthy adults. As a source of calcium, milk had the least effect, while calcium carbonate and calcium phosphate had the greatest effect (18). Several other studies have found minimal effects of supplemental calcium on manganese metabolism (19).",18;19,2/2,"Kies C. Bioavailability of manganese. In: Klimis-Tavantzis D, ed. Manganese in Health and Disease. Boca Raton: CRC Press, Inc.; 1994:39-58. | Johnson P, Lykken G. Manganese and calcium absorption and balance in young women fed diets with varying amounts of manganese and calcium. J Trace Elem Exp Med. 1991;4:19-35.",,https://lpi.oregonstate.edu/mic/minerals/manganese,2026-08-10T04:48:22+00:00
manganese,영양소-약물,,,,Safety 아래,Safety > Drug interactions,"Magnesium-containing antacids and laxatives and the antibiotic medication, tetracycline, may decrease the absorption of manganese if taken together with manganese-containing foods or supplements (53).",53,1/1,"In: Hendler S, Rorvik D, eds. PDR for Nutritional Supplements. Montvale: Medical Economics Company, Inc.; 2001.",,https://lpi.oregonstate.edu/mic/minerals/manganese,2026-08-10T04:48:22+00:00
molybdenum,영양소-영양소,Copper,Copper,미량영양소,Nutrient interactions,Function > Nutrient interactions > Copper,"An early study reported that molybdenum intakes of 500 μg/day and 1,500 μg/day from sorghum increased urinary copper excretion (2). However, the results of a more recent, well-controlled study indicated that very high dietary molybdenum intakes (up to 1,500 μg/day) did not adversely affect copper nutritional status in eight, healthy young men (15).",2;15,2/2,"Food and Nutrition Board, Institute of Medicine. Molybdenum. In: Dietary reference intakes for vitamin A, vitamin K, boron, chromium, copper, iodine, iron, manganese, molybdenum, nickel, silicon, vanadium, and zinc. Washington, D.C.: National Academy Press; 2001:420-441. (National Academy Press) | Turnlund JR, Keyes WR. Dietary molybdenum: Effect on copper absorption, excretion, and status in young men. In: Roussel AM, ed. Trace Elements in Man and Animals. Vol 10. New York: Kluwer Academic Press.; 2000:951-953.",,https://lpi.oregonstate.edu/mic/minerals/molybdenum,2026-08-10T04:48:24+00:00
molybdenum,영양소-영양소,Tetrathiomolybdate,Tetrathiomolybdate,약물,Nutrient interactions,Function > Nutrient interactions > Tetrathiomolybdate,"Excess dietary molybdenum has been found to result in copper deficiency in grazing animals (ruminants). In the digestive tract of ruminants, the formation of compounds containing sulfur and molybdenum, known as thiomolybdates, prevents the absorption of copper and can cause fatal copper-dependent disorders (16, 17). Tetrathiomolybdate (TM) is a molecule that can form high-affinity complexes with copper, controlling free copper (copper that is not bound to ceruloplasmin), and inhibiting copper chaperones and copper-containing enzymes (18, 19). TM's ability to lower free copper levels is exploited in the treatment of Wilson's disease, a genetic disorder characterized by copper accumulation in tissues responsible for hepatic and neurologic disorders. Neurologic worsening has been linked with toxic levels of free copper in the serum of neurologically presenting patients. TM therapy seems able to stabilize neurologic status and prevent neurologic deterioration in these patients, as opposed to the standard initial treatment of choice (20). Copper is also a required cofactor for enzymes involved in inflammation and angiogenesis that are known to accelerate cancer progression and metastasis. Copper depletion studies employing TM have been initiated in patients with advanced malignancies with the aim of preventing disease progression or relapse. These pilot trials showed promising results in individuals with metastatic kidney cancer (21), metastatic colorectal cancer (22), and breast cancer with high risk of relapse (23). TM was relatively well-tolerated and stabilized disease or prevented relapse in correlation with copper depletion. TM's efficacy has also been investigated in animal models of inflammatory and immune-related diseases (24, 25), but clinical studies are needed to evaluate whether copper depletion might stabilize diseases and improve survival in humans, as suggested by a trial of TM therapy with patients with biliary cirrhosis (26).",16;17;18;19;20;21;22;23;24;25;26,11/11,"Suttle NF. Copper imbalances in ruminants and humans: unexpected common ground. Adv Nutr. 2012;3(5):666-674. (PubMed) | Lopez-Alonso M, Miranda M. Copper supplementation, a challenge in cattle. Animals (Basel). 2020;10(10):1890. (PubMed) | Helz GR, Erickson BE. Extraordinary stability of copper(I)-tetrathiomolybdate complexes: possible implications for aquatic ecosystems. Environ Toxicol Chem. 2011;30(1):97-102. (PubMed) | Alvarez HM, Xue Y, Robinson CD, et al. Tetrathiomolybdate inhibits copper trafficking proteins through metal cluster formation. Science. 2010;327(5963):331-334. (PubMed) | Brewer GJ, Askari F, Dick RB, et al. Treatment of Wilson's disease with tetrathiomolybdate: V. Control of free copper by tetrathiomolybdate and a comparison with trientine. Transl Res. 2009;154(2):70-77. (PubMed) | Redman BG, Esper P, Pan Q, et al. Phase II trial of tetrathiomolybdate in patients with advanced kidney cancer. Clin Cancer Res. 2003;9(5):1666-1672. (PubMed) | Gartner EM, Griffith KA, Pan Q, et al. A pilot trial of the anti-angiogenic copper lowering agent tetrathiomolybdate in combination with irinotecan, 5-flurouracil, and leucovorin for metastatic colorectal cancer. Invest New Drugs. 2009;27(2):159-165. (PubMed) | Jain S, Cohen J, Ward MM, et al. Tetrathiomolybdate-associated copper depletion decreases circulating endothelial progenitor cells in women with breast cancer at high risk of relapse. Ann Oncol. 2013;24(6):1491-1498. (PubMed) | Hou G, Abrams GD, Dick R, Brewer GJ. Efficacy of tetrathiomolybdate in a mouse model of multiple sclerosis. Transl Res. 2008;152(5):239-244. (PubMed) | Wei H, Zhang WJ, McMillen TS, Leboeuf RC, Frei B. Copper chelation by tetrathiomolybdate inhibits vascular inflammation and atherosclerotic lesion development in apolipoprotein E-deficient mice. Atherosclerosis. 2012;223(2):306-313. (PubMed) | Askari F, Innis D, Dick RB, et al. Treatment of primary biliary cirrhosis with tetrathiomolybdate: results of a double-blind trial. Transl Res. 2010;155(3):123-130. (PubMed)",http://www.ncbi.nlm.nih.gov/pubmed/22983845;https://www.ncbi.nlm.nih.gov/pubmed/33076570;http://www.ncbi.nlm.nih.gov/pubmed/20928916;http://www.ncbi.nlm.nih.gov/pubmed/19965379;http://www.ncbi.nlm.nih.gov/pubmed/19595438;http://www.ncbi.nlm.nih.gov/pubmed/12738719;http://www.ncbi.nlm.nih.gov/pubmed/18712502;http://www.ncbi.nlm.nih.gov/pubmed/23406736;http://www.ncbi.nlm.nih.gov/pubmed/19010295;http://www.ncbi.nlm.nih.gov/pubmed/22770994;http://www.ncbi.nlm.nih.gov/pubmed/20171597,https://lpi.oregonstate.edu/mic/minerals/molybdenum,2026-08-10T04:48:24+00:00
molybdenum,영양소-약물,,,,Safety 아래,Safety > Drug interactions,"High doses of molybdenum have been found to inhibit the metabolism of acetaminophen in rats (64); however, it is not known whether this occurs at clinically relevant doses in humans.",64,1/1,"Boles JW, Klaassen CD. Effects of molybdate and pentachlorophenol on the sulfation of acetaminophen. Toxicology. 2000;146(1):23-35. (PubMed)",http://www.ncbi.nlm.nih.gov/pubmed/10773360,https://lpi.oregonstate.edu/mic/minerals/molybdenum,2026-08-10T04:48:24+00:00
